transcription,recording_id,labels,model_transcription
p s a eight one zero turn right to trasadingen ,011_0001,"[22  4 25  4  7  4 11 15 13 14 26  4 21 20 11  4 32 11 24 21  4 26 27 24
 20  4 24 15 13 14 26  4 26 21  4 26 24  7 25  7 10 15 20 13 11 20  4]",besta it von siroturn right to drasetingen
lufthansa five three one eight contact zurich one three four decimal six ,011_0002,"[18 27 12 26 14  7 20 25  7  4 12 15 28 11  4 26 14 24 11 11  4 21 20 11
  4 11 15 13 14 26  4  9 21 20 26  7  9 26  4 32 27 24 15  9 14  4 21 20
 11  4 26 14 24 11 11  4 12 21 27 24  4 10 11  9 15 19  7 18  4 25 15 30
  4]",loftain sur five three one-eight contects suric one tree four decimal six
p s a eight one zero contact zurich one three three decimal four ,011_0003,"[22  4 25  4  7  4 11 15 13 14 26  4 21 20 11  4 32 11 24 21  4  9 21 20
 26  7  9 26  4 32 27 24 15  9 14  4 21 20 11  4 26 14 24 11 11  4 26 14
 24 11 11  4 10 11  9 15 19  7 18  4 12 21 27 24  4]",be side one zero contecturic won tree readers more four
sabena four eight one rhein identified ,011_0004,"[25  7  8 11 20  7  4 12 21 27 24  4 11 15 13 14 26  4 21 20 11  4 24 14
 11 15 20  4 15 10 11 20 26 15 12 15 11 10  4]",sapina foid won rin it end defined
transwede one zero one rhein identified set course trasadingen ,011_0005,"[26 24  7 20 25 29 11 10 11  4 21 20 11  4 32 11 24 21  4 21 20 11  4 24
 14 11 15 20  4 15 10 11 20 26 15 12 15 11 10  4 25 11 26  4  9 21 27 24
 25 11  4 26 24  7 25  7 10 15 20 13 11 20  4]",ransvit won zero one rhynit and definets at cost rassiting in
india oscar kilo contact rhein one two seven three seven ,011_0006,"[15 20 10 15  7  4 21 25  9  7 24  4 17 15 18 21  4  9 21 20 26  7  9 26
  4 24 14 11 15 20  4 21 20 11  4 26 29 21  4 25 11 28 11 20  4 26 14 24
 11 11  4 25 11 28 11 20  4]",india os kaquilo contecrin won two seven three-seven
transavia three eight one zurich radar one three four decimal six ,011_0007,"[26 24  7 20 25  7 28 15  7  4 26 14 24 11 11  4 11 15 13 14 26  4 21 20
 11  4 32 27 24 15  9 14  4 24  7 10  7 24  4 21 20 11  4 26 14 24 11 11
  4 12 21 27 24  4 10 11  9 15 19  7 18  4 25 15 30  4]",transavia triet one surrich reda won three four dicimal six
speedbird one five six rhein identified ,011_0008,"[25 22 11 11 10  8 15 24 10  4 21 20 11  4 12 15 28 11  4 25 15 30  4 24
 14 11 15 20  4 15 10 11 20 26 15 12 15 11 10  4]",speebet one five sixth rhine identified
swissair nine three five two rhein identified ,011_0009,"[25 29 15 25 25  7 15 24  4 20 15 20 11  4 26 14 24 11 11  4 12 15 28 11
  4 26 29 21  4 24 14 11 15 20  4 15 10 11 20 26 15 12 15 11 10  4]",swicea nine three five to rhine identified
sabena four eight one turn left to dinkelsbuhl ,011_0010,"[25  7  8 11 20  7  4 12 21 27 24  4 11 15 13 14 26  4 21 20 11  4 26 27
 24 20  4 18 11 12 26  4 26 21  4 10 15 20 17 11 18 25  8 27 14 18  4]",sabina foyd wone tern left to dinkes bull
