transcription,recording_id,audio,model_transcription
sunwing five two zero three report position ,071_0560,"{'array': array([-0.01133374, -0.0174084 , -0.00085938, ...,  0.00210156,
       -0.00129486,  0.        ], dtype=float32), 'path': 'atcosim/WAVdata/gf1/gf1_01/gf1_01_225.wav', 'sampling_rate': 16000}",SONOING FACT THOSE THAT  TAD REPOT POSITION
roger contact geneva one two eight one five good bye ,071_0561,"{'array': array([-0.00789292, -0.00669707,  0.00212632, ..., -0.00550666,
        0.00291519,  0.        ], dtype=float32), 'path': 'atcosim/WAVdata/gf1/gf1_01/gf1_01_226.wav', 'sampling_rate': 16000}",BUT YOU'RE GOING T TALK T YOUR NEVA I WANT TO AT ONE FIVE GOOD BIGHT
<FL> </FL> ,071_0562,"{'array': array([-0.00222153, -0.00542752, -0.0053156 , ..., -0.00100036,
       -0.01024889, -0.00064195], dtype=float32), 'path': 'atcosim/WAVdata/gf1/gf1_01/gf1_01_227.wav', 'sampling_rate': 16000}",TT THER HOME ME IVMA HUH SO TONE TALK AU TIME I DO VI
<FL> </FL> ,071_0563,"{'array': array([-4.6814843e-03,  1.7332939e-04,  6.6845729e-05, ...,
       -8.0449600e-03, -4.9592764e-03,  0.0000000e+00], dtype=float32), 'path': 'atcosim/WAVdata/gf1/gf1_01/gf1_01_228.wav', 'sampling_rate': 16000}",AH FRANCISCO TOME I READ THI SES SISTRY DHIS ON DOING YOU WHAT TE WOELT DO SET OS THE WHORE
<FL> </FL> ,071_0564,"{'array': array([-7.7956426e-03, -5.7362216e-03, -1.1459925e-02, ...,
        5.8226863e-07, -1.0044227e-02, -2.5254441e-04], dtype=float32), 'path': 'atcosim/WAVdata/gf1/gf1_01/gf1_01_229.wav', 'sampling_rate': 16000}",SI SES YOU GOING TOK TO MILA SOME ON SANGA TO A SANCOVA
<FL> </FL> ,071_0565,"{'array': array([-0.00195899, -0.01096896, -0.00979181, ...,  0.00368192,
       -0.00166918,  0.        ], dtype=float32), 'path': 'atcosim/WAVdata/gf1/gf1_01/gf1_01_230.wav', 'sampling_rate': 16000}",O FO HES TONT GOT HOME TO ME KNO SOME ON SOIN GOT T TO MASANCLVO
iberia three four seven three climb to flight level three five zero ,071_0566,"{'array': array([-0.00483562, -0.011543  , -0.01085471, ..., -0.00674397,
       -0.00798188,  0.00288974], dtype=float32), 'path': 'atcosim/WAVdata/gf1/gf1_01/gf1_01_231.wav', 'sampling_rate': 16000}",A BYYA THREE FOUR SEVEN THREE CLOMP TO FLATT OF A THREE FIVE SITTLE
luxair two six six three geneva one two eight one five good bye ,071_0567,"{'array': array([-0.00527262, -0.01076117, -0.00680343, ..., -0.00943208,
        0.00184814,  0.00073402], dtype=float32), 'path': 'atcosim/WAVdata/gf1/gf1_01/gf1_01_232.wav', 'sampling_rate': 16000}",LOOK SA ATO SIX SIXTREEN JENIVA I WANT TO WAIT ONE FIVE GOOD BYE
bonjour centennial one five seven identified st prex willisau flight level three two zero ,071_0568,"{'array': array([-0.00167605, -0.0046146 , -0.00681137, ..., -0.00803871,
       -0.00697004, -0.00563319], dtype=float32), 'path': 'atcosim/WAVdata/gf1/gf1_01/gf1_01_233.wav', 'sampling_rate': 16000}",AS O OLS ON TON YOUON ONE FIVE SEVENA DOESN'T DEFII SO PAVILIS OFFLIKE THE MOTATOS AT THEM
alitalia three seven zero reims one three three eight two good bye ,071_0569,"{'array': array([-0.00322855, -0.00284125, -0.01438992, ..., -0.00019254,
        0.00208424, -0.00601078], dtype=float32), 'path': 'atcosim/WAVdata/gf1/gf1_01/gf1_01_234.wav', 'sampling_rate': 16000}",I NEED THAT OUT THRE SEVEN AT OH HUH SO ON TETO YOU O GOOD BYE
