transcription,recording_id,model_transcription
roger ,091_0996,roging
saudia one eight three contact rhein control one three two decimal four bye ,081_0450,saudiar one eight three contar rhein control one three two decimal fu bye
sabena nine five nine bonjour identified passeiry tour du pin flight level three one zero ,071_0497,seven nine nine five nine bonjour identified basari to dipan flight level three one zero
ah eva three two one bonjour identified cleared passeiry la tour du pin flight level two nine zero ,071_0937,riva three two one bonjour identifie cleared pas zuri laturdiba flight level two nine zure
lufthansa five two one seven turn left to dinkelsbuhl delta kilo bravo ,041_0140,lufthansa five two one seven turn left two dinkelspul delta kilo bravo
okay make it heading ah two one two zero five ,092_0167,a kay mikit heading ah two one two zero five
lufthansa eight two two one maintain three three zero proceed trasadingen please ,091_0430,lufthasa eight two two one maintain three three zero plesit transweting passe
merair six nine four four is identified proceed to tango romeo alfa climb to flight level two nine zero ,031_0665,mayor six nine four four ce identified proceed to tango romeo alfa climb to flight level two nine zero
alitalia one one seven zurich one three three four ,041_0461,alitalia one one seven zurich one three three four
lufthansa eight two six eight good morning maintain level two nine zero willisau st prex ,081_0200,alufthansa eight two six eight good morning maintain level two nine zero willisau st prex
swissair four eight eight climb to flight level three two zero ,092_0290,swissair four eight eight climb to flight level three two zero
malaysian four contact rhein one two seven decimal three seven ,061_0504,malaysian four contact rhein one two seven decimal three seven
emirates two is identified ,011_0177,emratstwo is identified
ah london airtours one contact milano one three four decimal five two ,051_0317,alananetos one contact milano one three four decimal five two
alitalia four eight five descend flight level two five zero ,091_0923,alitalia four eight five descend flighleval two five zero
transwede one zero seven set course direct st prex ,082_0062,transwede one zero seven secho starict samt prex
aero lloyd five one seven ah turn left to trasadingen ,081_0808,aero lloyd five one seven turn left to trasading
ah jet set one four two nine good morning radar contact ,012_0062,ah jetset one four two nine good morning radar contact
lufthansa four five eight two climb flight level three hundred ,041_0397,lufthansa four five eight two climb flight level three hundred
delta echo bravo contact now zurich one three three decimal four good bye ,101_0648,delta echo bravo contact not zurich one three three decimal four good bye
airfrans six seven zero descend flight level two five zero rate at least two thousand five hundred ,101_0120,airfrans six seven zero descend flight level two five zero radia least two thousand five hundred
lufthansa four three nine three contact now milan one three four five two ,081_0583,lufthansa four three nine three contact now milan one three four five two
air berlin five zero eight one turn right to st prex ,081_0226,aerberlin five zero eight one turn right two st prex
condor one zero four contact radar on one three three decimal four and state your heading to radar bye bye ,091_0362,condor one zero four contact radar one three three decimal four enstagt your heading two radar bye bye
