transcription,recording_id,audio
~p ~s ~a eight one zero turn right to trasadingen ,011_0001,atcosim/WAVdata/sm1/sm1_01/sm1_01_001.wav
lufthansa five three one eight contact zurich one three four decimal six ,011_0002,atcosim/WAVdata/sm1/sm1_01/sm1_01_002.wav
~p ~s ~a eight one zero contact zurich one three three decimal four ,011_0003,atcosim/WAVdata/sm1/sm1_01/sm1_01_003.wav
sabena four eight one rhein identified ,011_0004,atcosim/WAVdata/sm1/sm1_01/sm1_01_004.wav
transwede one zero one rhein identified set course trasadingen ,011_0005,atcosim/WAVdata/sm1/sm1_01/sm1_01_005.wav
india oscar kilo contact rhein one two seven three seven ,011_0006,atcosim/WAVdata/sm1/sm1_01/sm1_01_006.wav
transavia three eight one zurich radar one three four decimal six ,011_0007,atcosim/WAVdata/sm1/sm1_01/sm1_01_007.wav
speedbird one five six rhein identified ,011_0008,atcosim/WAVdata/sm1/sm1_01/sm1_01_008.wav
swissair nine three five two rhein identified ,011_0009,atcosim/WAVdata/sm1/sm1_01/sm1_01_009.wav
sabena four eight one turn left to dinkelsbuhl ,011_0010,atcosim/WAVdata/sm1/sm1_01/sm1_01_010.wav
swissair nine three five two climb flight level three five zero set course to gotil ,011_0011,atcosim/WAVdata/sm1/sm1_01/sm1_01_011.wav
lufthansa eight two six eight rhein identified set course trasadingen climb flight level two seven zero ,011_0012,atcosim/WAVdata/sm1/sm1_01/sm1_01_012.wav
sabena eight three eight rhein identified direct to gotil ,011_0013,atcosim/WAVdata/sm1/sm1_01/sm1_01_013.wav
speedbird one five six contact rhein one two seven three seven ,011_0014,atcosim/WAVdata/sm1/sm1_01/sm1_01_014.wav
foxtrot sierra india rhein identified climb flight level two six zero ,011_0015,atcosim/WAVdata/sm1/sm1_01/sm1_01_015.wav
transwede one zero one proceed direct to hochwald thereafter st prex ,011_0016,atcosim/WAVdata/sm1/sm1_01/sm1_01_016.wav
foxtrot sierra india report heading ,011_0017,atcosim/WAVdata/sm1/sm1_01/sm1_01_017.wav
roger turn left heading one eight five ,011_0018,atcosim/WAVdata/sm1/sm1_01/sm1_01_018.wav
india tango alfa sierra alfa rhein identified ,011_0019,atcosim/WAVdata/sm1/sm1_01/sm1_01_019.wav
sabena four eight one contact rhein one three two decimal four ,011_0020,atcosim/WAVdata/sm1/sm1_01/sm1_01_020.wav
india sierra alfa turn one five degrees to the left ,011_0021,atcosim/WAVdata/sm1/sm1_01/sm1_01_021.wav
hapag lloyd six five three rhein identified climb flight level two seven zero ,011_0022,atcosim/WAVdata/sm1/sm1_01/sm1_01_022.wav
swissair nine three five two rhein one two seven decimal three seven ,011_0023,atcosim/WAVdata/sm1/sm1_01/sm1_01_023.wav
lufthansa eight two six eight climb flight level two nine zero ,011_0024,atcosim/WAVdata/sm1/sm1_01/sm1_01_024.wav
foxtrot sierra india climb flight level two seven zero ,011_0025,atcosim/WAVdata/sm1/sm1_01/sm1_01_025.wav
hapag lloyd six five three climb flight level two nine zero set course trasadingen ,011_0026,atcosim/WAVdata/sm1/sm1_01/sm1_01_026.wav
malaysian two rhein identified ,011_0027,atcosim/WAVdata/sm1/sm1_01/sm1_01_027.wav
foxtrot sierra india turn left heading one seven five climb flight level three seven zero ,011_0028,atcosim/WAVdata/sm1/sm1_01/sm1_01_028.wav
india sierra alfa turn right to frankfurt ,011_0029,atcosim/WAVdata/sm1/sm1_01/sm1_01_029.wav
sabena eight three eight contact rhein one two seven three seven ,011_0030,atcosim/WAVdata/sm1/sm1_01/sm1_01_030.wav
swissair six five two zero rhein do you read ,011_0031,atcosim/WAVdata/sm1/sm1_01/sm1_01_031.wav
lufthansa eight two six eight contact zurich one three four decimal six ,011_0032,atcosim/WAVdata/sm1/sm1_01/sm1_01_032.wav
constellation two two five one rhein identified ,011_0033,atcosim/WAVdata/sm1/sm1_01/sm1_01_033.wav
transwede one zero one contact zurich one three three decimal four ,011_0034,atcosim/WAVdata/sm1/sm1_01/sm1_01_034.wav
foxtrot sierra india set course to trasadingen ,011_0035,atcosim/WAVdata/sm1/sm1_01/sm1_01_035.wav
foxtrot sierra india report rate of climb ,011_0036,atcosim/WAVdata/sm1/sm1_01/sm1_01_036.wav
roger keep this rate until reaching ,011_0037,atcosim/WAVdata/sm1/sm1_01/sm1_01_037.wav
swissair six five two zero rhein radar do you read ,011_0038,atcosim/WAVdata/sm1/sm1_01/sm1_01_038.wav
foxtrot sierra india contact zurich one three three decimal four ,011_0039,atcosim/WAVdata/sm1/sm1_01/sm1_01_039.wav
olympic one four four rhein identified ,011_0040,atcosim/WAVdata/sm1/sm1_01/sm1_01_040.wav
malaysian two contact rhein one two seven three seven ,011_0041,atcosim/WAVdata/sm1/sm1_01/sm1_01_041.wav
georgia air rhein radar identified ,011_0042,atcosim/WAVdata/sm1/sm1_01/sm1_01_042.wav
