transcription,recording_id,input_values,labels,model_transcription
~p ~s ~a eight one zero turn right to trasadingen ,011_0001,"[-0.13728112 -0.18236274 -0.12245701 ...  0.02026784 -0.21220525
  0.00202977]","[3 3 4 3 3 4 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3
 4 3 3 3 3 3 3 3 3 3 3 3 4]",BUT A START YED ONE SILVETON A RIGHT TO TRYAS AT ENGAN
lufthansa five three one eight contact zurich one three four decimal six ,011_0002,"[ 0.01938894 -0.27381647 -0.24783386 ...  0.09831657 -0.2591474
 -0.21210532]","[3 3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3
 3 4 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 4]",LOUTANS A FIVE THREE ONE EIGHD CONTECTIRI ONE TREE FOUR DASA MOLSIX
~p ~s ~a eight one zero contact zurich one three three decimal four ,011_0003,"[-0.14701584 -0.25189435 -0.13775955 ... -0.06439215 -0.23664948
 -0.05823401]","[3 3 4 3 3 4 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3
 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 4]",BESAD MONTELO CONTICTILICMONTRITRIDESMA FOR
sabena four eight one rhein identified ,011_0004,"[-0.01741456 -0.09194233 -0.10855252 ... -0.00520324  0.0248963
 -0.15656777]","[3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 3 3
 3 4]",SABEN AFOID ONE RHINE I DENDIFIND
transwede one zero one rhein identified set course trasadingen ,011_0005,"[-0.10160181 -0.13950142 -0.09049622 ... -0.08530225 -0.10950731
  0.0009915 ]","[3 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 3
 3 3 4 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3 3 4]",ANSUITE BONZI ROBONE RYNEYED AND DEFINE SAIT CONST RACETINGEN
india oscar kilo contact rhein one two seven three seven ,011_0006,"[-0.03976176 -0.1110252  -0.18228391 ... -0.08305503 -0.11592399
 -0.0397293 ]","[3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3
 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4]",INDIA WAS CACILLOCONTICLINE ONE TWO SEVENTTY SEVEN
transavia three eight one zurich radar one three four decimal six ,011_0007,"[-0.12379662 -0.10096958 -0.2429612  ...  0.02646025 -0.00451106
  0.00106849]","[3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3
 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 4]",TRANZAVIETRITVON SILICRETA ONE TRE FOURESSIMAL SIX
speedbird one five six rhein identified ,011_0008,"[-0.06196117 -0.16791973  0.03422252 ...  0.03695008 -0.15093133
 -0.12467639]","[3 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 3
 3 3 4]",BE BUT ONE FIVE SIX RHINE IDENTIFIED
swissair nine three five two rhein identified ,011_0009,"[-0.15028594 -0.17150366  0.06313619 ... -0.10150965 -0.1404044
 -0.05009029]","[3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3
 3 3 3 3 3 3 3 3 4]",SPE SON NINE THREE FIVE TWO RINE I DUNDIFIED
sabena four eight one turn left to dinkelsbuhl ,011_0010,"[-2.1285103e-01 -2.7637374e-01  1.3090579e-02 ...  1.7058993e-04
 -1.4374338e-01 -1.1090800e-02]","[3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 4 3 3
 3 3 3 3 3 3 3 3 3 4]",SABBINAFOYD ONE TURN LEFT TO DINKERD'S BOODLE
swissair nine three five two climb flight level three five zero set course to gotil ,011_0011,"[-0.09210087 -0.10734186 -0.07866026 ... -0.00376365 -0.01811644
 -0.07826726]","[3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3
 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3
 4 3 3 4 3 3 3 3 3 4]",SPICEA NINE A THREE FIVE TUCLIME FLIGHT LEVEL THREE FIVE SEROS AT CONSE TO CORTILLE
lufthansa eight two six eight rhein identified set course trasadingen climb flight level two seven zero ,011_0012,"[-0.12678435  0.07089899 -0.22576435 ... -0.22926964 -0.02021482
 -0.20576443]","[3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3
 3 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3 3 4 3 3 3 3
 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4]",LOUTONZA EIGHT TWO SIX EIGHT RHINE IDENTIFIED SAID COSTRASETTING IN CLIMEFLAD LEVEL TO SEVEN ZEL
