transcription,recording_id,model_transcription
alitalia two nine one is identified ,031_0648,<unk>
lufthansa five three one eight contact zurich one three four decimal six ,011_0002,<unk>
hamburg air two five zero zero good morning radar contact maintain two nine zero trasadingen st prex ,081_0711,<unk>
[EMPTY] ,092_0172,
@aerovic one zero six one turn left heading one nine zero descend to flight level two five zero ,101_0832,<unk>
[EMPTY] ,101_0247,
alitalia one three five zurich one three four six tschuss ,041_0371,<unk>
foxtrot oscar lima contact milan one three four five two ,081_0585,<unk>
swissair four eight eight good morning ,081_0283,<unk>
roger ,012_0090,<unk>
india sierra alfa call rhein on ah one two seven three seven good day ,021_0385,<unk>
alitalia three zero one contact milano one two five decimal eight five good bye ,071_0408,<unk>
tag speedbird one two nine identified ,021_0206,<unk>
good morning alitalia one one seven radar contact descend flight level three three zero ,091_0459,<unk>
air adria one six two seven is identified ,021_0619,<unk>
jet set four nine seven good morning radar contact ,021_0515,<unk>
merair six nine five two good afternoon radar contact trasadingen saronno ,101_0430,<unk>
[FRAGMENT] ,111_0557,E
india fox golf good morning squawk two seven four four ,111_0139,<unk>
speedway three four six nine descend flight level two seven zero ,091_0858,<unk>
britannia triple two alfa contact rhein one three two decimal four ,021_0111,<unk>
swissair nine three six zero is identified expect higher in five minutes i'll call you back ,011_0205,<unk>
oh it's one three four five two ,061_0410,<unk>
ah sorry ,011_0368,<unk>
airfrans three two six one climb to flight level two nine zero ,111_0001,<unk>
transwede three five seven one reims one three four decimal four good bye ,091_0059,<unk>
alitalia two six two contact reims on one three two two seven good bye ,071_0502,<unk>
lufthansa four three five six contact reims one three four four bye ,111_0457,<unk>
tarom three seven four ,021_0299,<unk>
[FRAGMENT] ,111_0055,<unk>
[FRAGMENT] ,091_0283,<unk>
delta echo charlie turn left to delta kilo bravo ,041_0168,<unk>
lufthansa three six zero four what will be your rate of climb ,111_0743,<unk>
viva nine zero eight one descend to flight level three one zero ,111_0095,<unk>
aero lloyd six five two climb to flight level three one zero ,021_0685,<unk>
speedbird seven seven whiskey whiskey is identified fly heading two five zero ,092_0376,<unk>
golf juliett india turn right to herbi intersection ,051_0244,<unk>
tarom three seven two contact rhein radar one three two decimal four ,031_0573,<unk>
air portugal four one one three contact zurich one three four decimal six au revoir ,071_0887,<unk>
sunwing five two one two in radar contact ,021_0657,<unk>
~k ~l ~m three four six climb to flight level three two zero ,041_0591,<unk>
sabena seven eight one six is identified climb to flight level three four zero ,091_0543,<unk>
sobelair two five five seven contact rhein one three two decimal four ,061_0524,<unk>
speedway three four six nine good afternoon maintain level three hundred ,081_0784,<unk>
lufthansa five five zero four contact zurich one three four decimal six ,021_0629,<unk>
lufthansa four six five two contact zurich one three four decimal six ,061_0564,<unk>
air berlin five zero eight one roger climb initially to level three four zero ,072_0097,<unk>
belstar five two six hotel call rhein on one three two decimal four ,021_0463,<unk>
