transcription,recording_id,audio,model_transcription
~p ~s ~a eight one zero turn right to trasadingen ,011_0001,"{'array': array([-0.00543842, -0.0073516 , -0.00483551, ...,  0.0004211 ,
       -0.0081818 ,  0.        ], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_001.wav', 'sampling_rate': 16000}",BUS O HE'D WON SIVL TON OF RIGHT TO TROSITING AND
lufthansa five three one eight contact zurich one three four decimal six ,011_0002,"{'array': array([ 0.0001049 , -0.00674225, -0.00658806, ...,  0.00230193,
       -0.00656666, -0.00547894], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_002.wav', 'sampling_rate': 16000}",LOF TENS A FIVE THREE ONE EIGHT CONTECT SERI ONE THREE FOUR DESEMO SIX
~p ~s ~a eight one zero contact zurich one three three decimal four ,011_0003,"{'array': array([-0.0059923 , -0.01321292, -0.00538857, ..., -0.00042362,
       -0.01206005,  0.        ], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_003.wav', 'sampling_rate': 16000}",BESIDE ONE ZERO CONTECT ZERIS ONE TREE TREE DESMAL FOUR
sabena four eight one rhein identified ,011_0004,"{'array': array([-1.0657670e-03, -4.6748291e-03, -5.4983264e-03, ...,
       -9.6809075e-05,  9.3149900e-04, -7.7443053e-03], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_004.wav', 'sampling_rate': 16000}",SIBEN IOD ON RYAN IDENTITY FINED
transwede one zero one rhein identified set course trasadingen ,011_0005,"{'array': array([-0.00419764, -0.00584395, -0.00375916, ..., -0.0036094 ,
       -0.00452119,  0.        ], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_005.wav', 'sampling_rate': 16000}",UNSPEED ONE ZERO ONE RYNIT AND DEFIENCE AT COST CLOSETING AND
india oscar kilo contact rhein one two seven three seven ,011_0006,"{'array': array([-0.0022601 , -0.00780485, -0.01161029, ..., -0.00590459,
       -0.00734789, -0.0029581 ], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_006.wav', 'sampling_rate': 16000}",INDIA WAS CAKILO CUNTECTLIN ONE TWO SEVEN THREE SEVEN
transavia three eight one zurich radar one three four decimal six ,011_0007,"{'array': array([-0.00816381, -0.00701338, -0.01651663, ...,  0.00184839,
       -0.0004643 ,  0.        ], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_007.wav', 'sampling_rate': 16000}",TRANSAVIA TRE T VON SUIHADA ONE THREE FOUR TO SIMOL SIX
speedbird one five six rhein identified ,011_0008,"{'array': array([-0.00385132, -0.00824676,  0.00111493, ...,  0.00175037,
       -0.00789868, -0.00657462], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_008.wav', 'sampling_rate': 16000}",BE BUT ONE FIVE SIX RYON IDENTIFIED
swissair nine three five two rhein identified ,011_0009,"{'array': array([-0.00837572, -0.01123919,  0.00487565, ..., -0.00681291,
       -0.00756235, -0.00409458], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_009.wav', 'sampling_rate': 16000}",VS NINE THREE FIVE TWO RYAN  IDENTIFIED
sabena four eight one turn left to dinkelsbuhl ,011_0010,"{'array': array([-0.01125471, -0.01439004,  0.00044274, ...,  0.00032523,
       -0.00801523, -0.00018746], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_010.wav', 'sampling_rate': 16000}",STA BE ENOGH FOID ONE TURN LEFT TO DINKODS BOODLE
swissair nine three five two climb flight level three five zero set course to gotil ,011_0011,"{'array': array([-0.00476919, -0.00575963, -0.00409155, ..., -0.00015698,
       -0.0010869 , -0.00405948], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_011.wav', 'sampling_rate': 16000}",SBE  ON NINE A THREE FIVE TWO GLIM FLIGHT LEVEL THREE FIVE SEROS THAT COST TO GOTILE
lufthansa eight two six eight rhein identified set course trasadingen climb flight level two seven zero ,011_0012,"{'array': array([-0.00495892,  0.00272044, -0.00923512, ..., -0.00907661,
       -0.00119898, -0.00807756], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_012.wav', 'sampling_rate': 16000}",LOFTERNS A EIGHT TWO SIX EIGHT RYAN IIDENTIFIED SET COST TOCETING AND CLIMB FLID LEVEL TWO SEVEN ZERO
sabena eight three eight rhein identified direct to gotil ,011_0013,"{'array': array([-0.00429984, -0.00922461, -0.01137022, ..., -0.00447515,
       -0.00714432,  0.        ], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_013.wav', 'sampling_rate': 16000}",SABENA AH T H RYNAT AN DEFIT DAVEC TO GOTIEE
speedbird one five six contact rhein one two seven three seven ,011_0014,"{'array': array([-0.00795946, -0.00127973,  0.00162914, ..., -0.00176704,
        0.00157556, -0.0055159 ], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_014.wav', 'sampling_rate': 16000}",SPEEP AT ONE FIVE SIX CONTECT LINE ONE TWO SEVEN THREE SEVEN
foxtrot sierra india rhein identified climb flight level two six zero ,011_0015,"{'array': array([-0.00672944, -0.00656167,  0.00205596, ..., -0.00298378,
       -0.00831849,  0.        ], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_015.wav', 'sampling_rate': 16000}",FOLK OTSIERA INDIA RIN IDENTIFIT CLIME FLIGHT LEVEL TWO SIX EO
transwede one zero one proceed direct to hochwald thereafter st prex ,011_0016,"{'array': array([-0.00856537, -0.01211332, -0.00477957, ..., -0.00436388,
       -0.01034991,  0.00186984], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_016.wav', 'sampling_rate': 16000}",TRUNSVEED ONE CERO ONE PLUS E DIRECT TO HOKVAT SER AFTER SALPE
foxtrot sierra india report heading ,011_0017,"{'array': array([-0.00484911, -0.00293836, -0.01127691, ...,  0.00312061,
        0.00136579,  0.        ], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_017.wav', 'sampling_rate': 16000}",FOLKS LET'S SEE OT INDIANI PALT HEADING
roger turn left heading one eight five ,011_0018,"{'array': array([-2.0397846e-03, -8.6024012e-03, -1.3660118e-02, ...,
        6.2904430e-05, -9.7315648e-04,  0.0000000e+00], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_018.wav', 'sampling_rate': 16000}",WHAT'S A TURN LEFT HETTING ONE EIGHT FIVE
india tango alfa sierra alfa rhein identified ,011_0019,"{'array': array([-2.4448805e-03, -1.1016053e-02, -1.9061055e-02, ...,
       -9.7497788e-05,  9.4415812e-04,  0.0000000e+00], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_019.wav', 'sampling_rate': 16000}",INDIA TANGO IFA SIERRA IFA RYAN IDENTIFYED
sabena four eight one contact rhein one three two decimal four ,011_0020,"{'array': array([-2.2838227e-03,  7.4279010e-06,  1.3176772e-04, ...,
       -9.0702772e-03,  3.0659405e-03, -2.9176439e-04], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_020.wav', 'sampling_rate': 16000}",SABINA FOIDON CONTACT LINE ONE TO D TWO DESMAL FOUR
india sierra alfa turn one five degrees to the left ,011_0021,"{'array': array([-0.00494798, -0.01715362, -0.01277595, ..., -0.00194161,
       -0.0010897 ,  0.        ], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_021.wav', 'sampling_rate': 16000}",IN D V IIF I TURN ONE FIVE DEGREES TO THE LEFT
hapag lloyd six five three rhein identified climb flight level two seven zero ,011_0022,"{'array': array([-0.00321766, -0.00981142, -0.01933039, ...,  0.00178613,
        0.00032281,  0.        ], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_022.wav', 'sampling_rate': 16000}",OBOR GLOWAT SIX FIVE THREE RYNIGHT AN DEFIT CLIM FLIOD LEVEL TWO SEVEN ZERO
swissair nine three five two rhein one two seven decimal three seven ,011_0023,"{'array': array([-7.5303442e-03, -1.0214470e-02, -1.3103235e-02, ...,
       -2.3964783e-03,  9.3970819e-05,  0.0000000e+00], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_023.wav', 'sampling_rate': 16000}",SO YOU SAY A NINE THREE FIVE TWO GYAN ONE TWO SEVEN DESMAL THREE SEVEN
lufthansa eight two six eight climb flight level two nine zero ,011_0024,"{'array': array([-0.00702137, -0.01813831, -0.0061054 , ...,  0.00319294,
       -0.00318774, -0.00924397], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_024.wav', 'sampling_rate': 16000}",LOFTON A EIGHT TWO SIX EIGHT CLIMB FLIGT LEVEL TWO NINE O ZERO
foxtrot sierra india climb flight level two seven zero ,011_0025,"{'array': array([-0.00420515,  0.00036208, -0.00036244, ..., -0.00713232,
       -0.01051858,  0.        ], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_025.wav', 'sampling_rate': 16000}",FOLKS TOT SIERA INDIA CLIME FLIGHT LEVEL TWO SEVEN ZERO
hapag lloyd six five three climb flight level two nine zero set course trasadingen ,011_0026,"{'array': array([-0.0025744 , -0.01319483, -0.00305128, ..., -0.01128949,
       -0.01029097, -0.00470926], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_026.wav', 'sampling_rate': 16000}",HAPAKLOID SIX FIVE THREE GLIMBE FLIGHT LEVEL TWO NINO ZEROS THAT COST TRASETING AN
malaysian two rhein identified ,011_0027,"{'array': array([-0.0057108 ,  0.00232549, -0.00228107, ..., -0.00704526,
       -0.00085386,  0.00101079], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_027.wav', 'sampling_rate': 16000}",ILATION TWO RYAN I DENTYFINT
foxtrot sierra india turn left heading one seven five climb flight level three seven zero ,011_0028,"{'array': array([-0.00693059, -0.0174394 , -0.0074865 , ..., -0.00135981,
       -0.01031037,  0.0016373 ], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_028.wav', 'sampling_rate': 16000}",FOLKS TOWATS SA INDIA TURN LEFT HEADING ONE A SEVEN FIVE CLIMB FLAT LEVEL THREE SEVEN ZERO
india sierra alfa turn right to frankfurt ,011_0029,"{'array': array([ 0.00343578,  0.00693015, -0.00705899, ...,  0.0023799 ,
       -0.00089665,  0.        ], dtype=float32), 'path': 'atcosim/WAVdata/sm1/sm1_01/sm1_01_029.wav', 'sampling_rate': 16000}",INDIA SIEA I FUH TURN RIDE TO FUNGFOOT
