transcription,recording_id,model_transcription
roger ,091_0996,roge
saudia one eight three contact rhein control one three two decimal four bye ,081_0450,saudia one eight three condor rhein control one three two decimal four bye
sabena nine five nine bonjour identified passeiry tour du pin flight level three one zero ,071_0497,savinanan five nine bonjour identified passe re to du pin flight level three one zero
ah eva three two one bonjour identified cleared passeiry la tour du pin flight level two nine zero ,071_0937,eva three two one bonjour ridentifye clear passe re la tour du b flight level two nine zero
lufthansa five two one seven turn left to dinkelsbuhl delta kilo bravo ,041_0140,lufthansa five two one seven turn left to dinkelsbildata kilo bravo
okay make it heading ah two one two zero five ,092_0167,i can make it heading two one two zero five
lufthansa eight two two one maintain three three zero proceed trasadingen please ,091_0430,lufthansa eight two two one maintain three three zero please trasading please
merair six nine four four is identified proceed to tango romeo alfa climb to flight level two nine zero ,031_0665,a six nine four four identified proceed to tango romeo alfa climb to flight level two nine zero
alitalia one one seven zurich one three three four ,041_0461,alitalia one one seven zurich one three three four
lufthansa eight two six eight good morning maintain level two nine zero willisau st prex ,081_0200,lufthansa eight two six eight good morning maintain level two nine zero wilisaiuo st prex
swissair four eight eight climb to flight level three two zero ,092_0290,swesa four eight eight climb to flight level three two zero
malaysian four contact rhein one two seven decimal three seven ,061_0504,malaysian four contact rhein one two seven decimal three seven
emirates two is identified ,011_0177,emrads two is identified
ah london airtours one contact milano one three four decimal five two ,051_0317,elananeatus one contact milano one three four decimal five two
alitalia four eight five descend flight level two five zero ,091_0923,alitalia four eight five descend flight level two five zero
transwede one zero seven set course direct st prex ,082_0062,transwede one zero seven sechostaric and prex
aero lloyd five one seven ah turn left to trasadingen ,081_0808,aero lloyd five four seven ah turn left to trasading
ah jet set one four two nine good morning radar contact ,012_0062,a that set one four two nine good morning radar contact
lufthansa four five eight two climb flight level three hundred ,041_0397,lufthansa four five eight two climb flight level three hundred
delta echo bravo contact now zurich one three three decimal four good bye ,101_0648,delta echo bravo contact not zurich one three three decimal four good bye
airfrans six seven zero descend flight level two five zero rate at least two thousand five hundred ,101_0120,air four six seven zero descend flight level two five zero rad at least two thousand five hundred
lufthansa four three nine three contact now milan one three four five two ,081_0583,lufthansa four three nine three contact now milan one three four five two
air berlin five zero eight one turn right to st prex ,081_0226,airbolene five zero eight one turn right to st prex
condor one zero four contact radar on one three three decimal four and state your heading to radar bye bye ,091_0362,condor one zero four contact radar on one three three decimal four and state your heading to radar bye bye
turkair nine two five good morning squawk one zero zero five ,091_0914,tag a nine two five go morning squawk one zero zero five
swissair eight zero six contact rhein one two seven three seven good day ,071_0004,resia eight zero six contact rhein one two seven three seven good day
lufthansa four seven two three milan one three four five two good bye ,091_0566,lufthansa four seven two three milan one three four five two good bye
speedbird ah one two f four contact rhein one two seven three seven ,051_0127,speedbird ah one two four contact rhein one two seven three seven
hapag lloyd three five five one guten tag radar contact ,012_0097,hapag lloyd three five five one goodntack radar contact
sabena eight zero six turn right by one five degrees climb flight level three four zero ,101_0468,sabena zero six turn right by one five degrees climb flight level three four zero
tarom three seven four is in radar contact ,021_0617,tan three seven four in radar contact
tag lufthansa three five six six identified climb flight level two seven zero ,031_0173,tag lufthansa three five six six identified climb flight level two seven zero
lufthansa three five seven seven rhein one three two one three two four tschuss ,092_0243,lufthansa three five seven seven rhein one three two one three two four ches
oscar oscar papa hotel india rhein radar identified ,011_0107,oscar oscar papa hotel india rhein radar identified
sabena three zero two contact rhein one two seven three seven tschuss ,031_0265,sabena three zero two contact rhein one to seven three seven treeps
and hotel bravo india ah disregard ,021_0568,can hotel bravo einiett ah disregard
alitalia four eight five call zurich on one three three decimal four ,021_0464,alitalia four eight five call zurich on one three three decimal four
lufthansa three five five zero contact zurich one three four decimal six ,051_0284,lufthansa three five five zero contact zer one three four decimal six
portugalia five four three bonjour maintain flight level three one zero via st prex la tour du pin ,071_0721,to ge a five four three bonjour maintain flight level three one zero via said prex la tour du per
blue five seven two turn now right direct to canne ,081_0198,blue five seven two turn now right direct to canne
alitalia two nine two good morning squawk two seven six one ,111_0101,alitalia two nine two good morning squawk two seven six one
condor nine seven two turn left to sierra papa romeo ,111_0620,conna nine seven two then left to sierra papa romeo
sata nine six zero one bonjour cleared direct la tour du pin flight level three three zero ,071_0760,tatannaine six sir one bonjour cleared the tag la tour du pin flect level three three zero
alitalia one one nine own navigation canne ,081_0689,alitalia one one nine own navigation canne
midland seven two zero turn right by one five degrees ,011_0128,midland seven two zero turn right by one five degrees
aero lloyd three eight one roger descend to flight level two five zero ,091_0147,rad three eight one roger descend to flight level two five zero
lufthansa three six zero four is identified climb to flight level three hundred ,041_0565,lufthansa three six zero four is identified climb to flight level three hundred
lufthansa four five seven five good morning radar contact continue climb flight level three one zero ,081_0655,lufthansa four five seven five good morning radar contact continue climb flight level three one zero
exact ,111_0627,exact
alitalia four one six contact now rhein control on one three two four ,101_0439,alitalia four one six contact now rhein control on one three two four
lufthansa four four one six right turn heading one eight zero ,071_0279,lufthansa four four one six right turn heading modeade zero
bama one five zurich radar good morning identified maintain flight level three three zero trasadingen stand by ,091_0997,bama one five zuri radar good morning identified maintain flight level three three zero transadengenst i
