transcription,recording_id,labels,model_transcription
alitalia two nine one is identified ,031_0648,[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 4 3 3 3 3 3 3 3 3 3 3 4],ALITALIA TO NINE O ONE IS IDENTIFIED
lufthansa five three one eight contact zurich one three four decimal six ,011_0002,"[3 3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3
 3 4 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 4]",LUFTANZA FIVE THREE ONE EIGHT CONTECT SURICH ONE THREE FOUR DESIMAL SIX
hamburg air two five zero zero good morning radar contact maintain two nine zero trasadingen st prex ,081_0711,"[3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3
 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3
 3 4 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3 3 4 3 3 4 3 3 3 3 4]",HABOGAT TWO FIVE ZERO ZERO GOOD MORNING RADEAR CANTACK MAINTAIND TWO NINE ZERO TRANSETING SAIMPRE
@aerovic one zero six one turn left heading one nine zero descend to flight level two five zero ,101_0832,"[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3
 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 4 3 3 3 3 3
 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4]",AREVEC ONE ZERO SIX ONE TURN LEFT ATING ONE NINE ZERO DESCENT FLIGHT LEVEL TWO FIVE ZERO
alitalia one three five zurich one three four six tschuss ,041_0371,"[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 4 3 3
 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4]",ALITALIA ONE THRE FIVE TWU RICHMAN THRE FOR SIX TRUS
foxtrot oscar lima contact milan one three four five two ,081_0585,"[3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4
 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 4]",FOXAROSCALIMA CONSAC DEMELAN ONE THREE FOUR FIVE TWO
swissair four eight eight good morning ,081_0283,"[3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3
 3 4]",SWIS A FOUR AD EIGHT GOOD MORNING
roger ,012_0090,[3 3 3 3 3 4],ACHO
india sierra alfa call rhein on ah one two seven three seven good day ,021_0385,"[3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 4 3 3 4 3 3
 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4]",INDIA SIR ALPA COLRINE ON A ONE TWO SEVEN THREE SEVEN GDAY
alitalia three zero one contact milano one two five decimal eight five good bye ,071_0408,"[3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3
 3 4 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3
 3 4 3 3 3 4]",A ITALIAT HISIRO AN CONTACT  MILANO ONE TWO FIVE DES MAETE FIVE GOOD BYE
tag speedbird one two nine identified ,021_0206,"[3 3 3 4 3 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3
 4]",TAXB ONE TO NINE IDENTIFIED
good morning alitalia one one seven radar contact descend flight level three three zero ,091_0459,"[3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3
 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3
 3 3 4 3 3 3 3 3 4 3 3 3 3 4]",GOOD MORNING ALITALIA ONE ONE SEVEN RADAR CANSAK DE SAN FLAT OF A TREE TREEZIWIL
air adria one six two seven is identified ,021_0619,"[3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 4 3 3 3 3 3 3
 3 3 3 3 4]",E ADRE ON SIX TO SEVEN IS IDENTIFIED
jet set four nine seven good morning radar contact ,021_0515,"[3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4
 3 3 3 3 3 4 3 3 3 3 3 3 3 4]",CHITSIT FOUR NINE E SEVEN GOOD MORNING READ A CONTACT
merair six nine five two good afternoon radar contact trasadingen saronno ,101_0430,"[3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3
 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 4]",MID A SIX NINE FIVE TWO GOOD AFTERNOON RADAR CONTACT TRARLSETT ING SOONO
india fox golf good morning squawk two seven four four ,111_0139,"[3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3
 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4]",INDIA FOXKOLV GOOD MORNING SQUAK TWO SEVEN FOUR FOUR
speedway three four six nine descend flight level two seven zero ,091_0858,"[3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4
 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4]",SPEED WA TREE FOUR SIX NINE I DYSEN FLIT LEVE TWO SEVEN ZERO
britannia triple two alfa contact rhein one three two decimal four ,021_0111,"[3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3
 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 4]",PREDRANIA TRIPLE TWO ALFA CONTACT RINE ONE THREE TWO DESMAL FOUR
swissair nine three six zero is identified expect higher in five minutes i'll call you back ,011_0205,"[ 3  3  3  3  3  3  3  3  4  3  3  3  3  4  3  3  3  3  3  4  3  3  3  4
  3  3  3  3  4  3  3  4  3  3  3  3  3  3  3  3  3  3  4  3  3  3  3  3
  3  4  3  3  3  3  3  3  4  3  3  4  3  3  3  3  4  3  3  3  3  3  3  3
  4  3 27  3  3  4  3  3  3  3  4  3  3  3  4  3  3  3  3  4]",SPISO NINA THREE SIX ZERO AS I IDENTIFIED EXPECT HIANA FIVE MINUTES ICLEIC
oh it's one three four five two ,061_0410,"[ 3  3  4  3  3 27  3  4  3  3  3  4  3  3  3  3  3  4  3  3  3  3  4  3
  3  3  3  4  3  3  3  4]",OH IT'S ONE THRE FOUR FIVE TWO
ah sorry ,011_0368,[3 3 4 3 3 3 3 3 4],A SORRY
airfrans three two six one climb to flight level two nine zero ,111_0001,"[3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 4 3
 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4]",WHERE FRON STREE TWO SIX ONE CLIMBED TO FLIGHT LEVEL TWO NINE ZERO
transwede three five seven one reims one three four decimal four good bye ,091_0059,"[3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4
 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 4]",TRANSVI TREE FIVE SEVEN ONE RAS ONE THREE FOUR ESMAL FORGUA
alitalia two six two contact reims on one three two two seven good bye ,071_0502,"[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3
 4 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4]",A LITALIA TWO SIX TWO CONTACT FRANCZ ON ONE THREE TWO TWO SEVEN GOOD BY
lufthansa four three five six contact reims one three four four bye ,111_0457,"[3 3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3
 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 4]",LAUFTANZA FOUR THREE FIVE SIX CATERANSE ONE THREE FOUR FOURBE
tarom three seven four ,021_0299,[3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4],DE ROMPRIE SEVEN FONT
[FRAGMENT] ,091_0283,[ 3 20 13  7 21 17  5  9  6  3  4],SKA
delta echo charlie turn left to delta kilo bravo ,041_0168,"[3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 4 3 3 3 3 3
 4 3 3 3 3 4 3 3 3 3 3 4]",THAT TE ECHOED CHARLTTORN LEFT TO DELTA CILLOBRAVO
lufthansa three six zero four what will be your rate of climb ,111_0743,"[3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3
 3 3 4 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 4 3 3 3 3 3 4]",LOUTANZA TRE SIX ZERO FOUR WHAT WILL BE YOUR RATE OF CLIMB
viva nine zero eight one descend to flight level three one zero ,111_0095,"[3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 4 3
 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4]",VIVA NINE ZERO EIGHT ONE DISCENT FLIGHT LEVEL THREE ONE ZERO
aero lloyd six five two climb to flight level three one zero ,021_0685,"[3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 4 3 3 3 3
 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4]",ER ALLOWED FIVE SIX TWO CLIMBED TO FLIGHT LEVEL TREE ONE ZERO
speedbird seven seven whiskey whiskey is identified fly heading two five zero ,092_0376,"[3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 3 3
 4 3 3 4 3 3 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3
 3 3 3 4]",SPEEPER' SEVEN SEVEN WHISKY WHISKY IS IDENTIFIED FLY HEADING TWO FIVE ERO
