transcription,recording_id,model_transcription,difference
saudia one eight three contact rhein control one three two decimal four bye,081_0450,saudiar one eight three contact rhein control one three two decimal four bye,{'saudia'}
sabena nine five nine bonjour identified passeiry tour du pin flight level three one zero,071_0497,sabena nine five nine bonjour identified passeiry to du pin flight level three one zero,{'tour'}
ah eva three two one bonjour identified cleared passeiry la tour du pin flight level two nine zero,071_0937,viva three two one bonjour identified cleared passeiry la tour du pin flight level two nine zero,"{'ah', 'eva'}"
lufthansa eight two six eight good morning maintain level two nine zero willisau st prex,081_0200,lufthansa eight two six eight good morning maintain level two nine zero vidisau st prex,{'willisau'}
emirates two is identified,011_0177,amrits two is identified,{'emirates'}
ah london airtours one contact milano one three four decimal five two,051_0317,air london air two is one contact milano one three four decimal five two,"{'ah', 'airtours'}"
aero lloyd five one seven ah turn left to trasadingen,081_0808,aero lloyd five one seven turn left to trasadingen,{'ah'}
airfrans six seven zero descend flight level two five zero rate at least two thousand five hundred,101_0120,airfrans six seven zero descend flight level two five zero radi at least two thousand five hundred,{'rate'}
turkair nine two five good morning squawk one zero zero five,091_0914,tag a nine two five good morning squawk one zero zero five,{'turkair'}
speedbird ah one two f four contact rhein one two seven three seven,051_0127,speedbird ah one two four contact rhein one two seven three seven,{'f'}
lufthansa three five seven seven rhein one three two one three two four tschuss,092_0243,lufthansa three five seven seven rhein one three two one three two four just,{'tschuss'}
sata nine six zero one bonjour cleared direct la tour du pin flight level three three zero,071_0760,sata nine six zero one bonjour cleared ah direct la tour du pin flight level three three zero,set()
exact,111_0627,expect,{'exact'}
bama one five zurich radar good morning identified maintain flight level three three zero trasadingen stand by,091_0997,bama one five zurich radar good morning identified maintain flight level three three zero trasadingenstand by,"{'trasadingen', 'stand'}"
ah roger turn ah left heading two one five to keep you within the airway,092_0161,ah roger turn ah left heading two one five t keep you with indierre,"{'the', 'airway', 'within', 'to'}"
lufthansa four two zero nine continue descent ah disregard ill call you back for further descent in a minute,041_0620,lufthansa four two zero nine continue descent ah disregard ill call you back further descent in a minute,{'for'}
okay switch over to reims please,101_0891,okays with a o two rheins please,"{'okay', 'reims', 'over', 'to', 'switch'}"
alitalia two one six identified cleared st prex arbos epinal climb to flight level three zero zero,071_0668,alitalia two one six identified cleared st prex armo sabina climb to flight level three zero zero,"{'arbos', 'epinal'}"
speedbird seven seven whiskey whiskey contact reims one three four decimal four good day,092_0407,speedbird seven seven whiskee whiskee contact reims one three four decimal four good day,{'whiskey'}
jat two seven three is identified,051_0647,air two seven three is identified,{'jat'}
foxtrot sierra india rhein radar identified call you back for higher,051_0009,foxtrot sierra india rhein radar identified cal you back further,"{'for', 'call', 'higher'}"
rhein contact geneva one two eight decimal one five au revoir,071_0836,and contact geneva one two eight decimal one five au revoir,{'rhein'}
ah delta echo charlie im not sure whether you got it you proceed to dinkelsbuhl,011_0349,ah delta echo charlie immo two whether you gied you proceed direct to dinkelsbuhl,"{'sure', 'got', 'im', 'it', 'not'}"
turkish five one five contact rhein one two seven decimal three seven,071_0289,burkaish five one five contact rhein one two seven decimal three seven,{'turkish'}
alitalia three hundred contact paris on one three three decimal eight two good bye,081_0062,alitalia three hundred contact raris on one three three decimal eight two good bye,{'paris'}
roger ill call you back for further climb,071_0632,algirail call you back for further climb,"{'roger', 'ill'}"
bama one five turn now right direct to zulu uniform echo,051_0178,bama one five turn now right direct to zuro yunifa mecho,"{'uniform', 'zulu', 'echo'}"
roger k l m three four six squawk two seven six six,111_0631,roger k l m three for six squawk two seven six six,{'four'}
lufthansa eight two two one ah milan one three four five two good bye,081_0383,lufthansa eight two two one milan one three four five two good bye,{'ah'}
jetaviation seven zero one descend to flight lev ah disregard maintain level three four zero,092_0379,jetaviation seven zero one descend to flight level ah disregard maintain level three four zero,{'lev'}
hallo alitalia four one three identified maintain two five zero upon reaching,051_0617,a lu alitalia four one three identified maintain two five zero pon reaching,"{'hallo', 'upon'}"
alright one three three one five please,101_0459,a right one three three one five please,{'alright'}
roger what is your position,101_0199,roger ah what is your position,set()
con ah so pick up ah heading of ah one six five,041_0490,con so pick up ah heading of ah one six five,set()
sabena seven eight one six turn r left to nattenheim,061_0581,sabena seven eight turn left to nattenheim,"{'r', 'one', 'six'}"
emirates eight one good morning maintain level three three zero trasadingen zurich east to fusse,081_0196,amerids eight one good morning maintain level three three zero trasadingen zurich east to fusle,"{'fusse', 'emirates'}"
ah good morning netherlands air force three five in radar contact,012_0117,ah good morning netherlands air force three five fen radar contact,{'in'}
air malta four five zero proceed to zulu uniform echo,111_0754,air malta four five zero proceed to zero uniform echo,{'zulu'}
bama one five as well milan one three four five two bye bye,091_1049,bama one five suell milan one three four five two bye bye,"{'well', 'as'}"
roger cleared passeiry la tour du pin flight level three zero zero,071_0798,roger cleared ah passeiry la tour du pin flight level three zero zero,set()
k l m three hundred kilo for shortcut turn left by ten degrees,031_0040,k l m three hundred kilo four short cut turn left by ten degrees,"{'shortcut', 'for'}"
austrian four one six whiskey zurich radar good morning identified trasadingen zurich east fusse maintain flight level three four zero,111_0365,austian four one six whiskee zurich radar good morning identified trasadingen zurich east fusse maintain flight level three four zero,"{'austrian', 'whiskey'}"
airfrans one five five four turn left for heading of zero nine zero,081_0525,airfrans one five five four turn affour heading of zero nine zero,"{'for', 'left'}"
alitalia four eight seven call zurich on one three four decimal six buongiorno,021_0487,alitalia four eight seven call zurich on one three four decimal six bongiurno,{'buongiorno'}
luftha sorry speedway three three five two descend to flight level two nine zero,091_1061,lufthans sorry speedway three three five two descend to flight level two nine zero,{'luftha'}
hapag lloyd one seven one ah geneva one three three one five good bye,092_0241,hapag lloyd one seven one geneva one three three one five good bye,{'ah'}
hoi k l m two six four identified,061_0076,mike l m two six four identified,"{'k', 'hoi'}"
tag malaysian two identified,061_0026,tag malasian two identified,{'malaysian'}
yeah,051_0300,get,{'yeah'}
speedbird nine four november is your callsign,111_0693,speedbird nine four november as con,"{'callsign', 'your', 'is'}"
lufthansa three five zero eight speed at own convenience contact zurich one three four six tschuss,041_0396,lufthansa three five zero eight speed on convenience contact zurich one three four six tschuss,"{'at', 'own'}"
