transcription,recording_id,labels,model_transcription
alitalia two nine one is identified ,031_0648,[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 4 3 3 3 3 3 3 3 3 3 3 4],YOU ONLY AT TWO NE O ONE AS IDENTITY FIGT
lufthansa five three one eight contact zurich one three four decimal six ,011_0002,"[3 3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3
 3 4 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 4]",LOFE TENS A FIVE THREE ONE EIGHT CONTECTSERI ONE THREE FOUR DESEMO SIX
hamburg air two five zero zero good morning radar contact maintain two nine zero trasadingen st prex ,081_0711,"[3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3
 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3
 3 4 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3 3 4 3 3 4 3 3 3 3 4]",HOW ABOUT GOT TWO FIVE ZERO ZERO GOMONING RA DOT CONTACT MAINTAIN TWO NINE ZERO TROSETING SAMPE
[EMPTY] ,092_0172,[ 3  5 19 23  6 17  3  4],
@aerovic one zero six one turn left heading one nine zero descend to flight level two five zero ,101_0832,"[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3
 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 4 3 3 3 3 3
 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4]",AEEK ONE ZERO SIX ONE TURN LEFT AT ING ONE NINE A ZERO DECENT FLIGHT LOBLE TWO FIVE ZERO
[EMPTY] ,101_0247,[ 3  5 19 23  6 17  3  4],
alitalia one three five zurich one three four six tschuss ,041_0371,"[3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 4 3 3 3 4 3 3
 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 3 4]",ILI TELL YOU ONE THREE FIVE TOI ONE THREE FOUR SEXTRAS
foxtrot oscar lima contact milan one three four five two ,081_0585,"[3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4
 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 4]",FOADOSGALIMA CONSACT UH MALIN ON THREE FOUR FIVE TWO
swissair four eight eight good morning ,081_0283,"[3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3
 3 4]",SO BEAS A FOUR DAY T AIHT GOOD MORNING
roger ,012_0090,[3 3 3 3 3 4],OTU
