,transcription,recording_id,audio
0,lufthansa three five zero eight climb flight level two nine zero ,031_0355,"{'path': 'atcosim/WAVdata/sm4/sm4_02/sm4_02_193.wav', 'array': array([-0.0047762 , -0.00546446, -0.01232211, ..., -0.00473112,
       -0.00039901, -0.0101546 ], dtype=float32), 'sampling_rate': 16000}"
1,lufthansa four four one six good afternoon radar contact if i give you climb clearance could you make it with ah two thousand ,111_0561,"{'path': 'atcosim/WAVdata/zf2/zf2_07/zf2_07_179.wav', 'array': array([-0.00663171, -0.00584063, -0.00498599, ..., -0.00161072,
        0.00109555, -0.00094114], dtype=float32), 'sampling_rate': 16000}"
2,~u ~s air one four good afternoon roger ,081_0812,"{'path': 'atcosim/WAVdata/zf1/zf1_02/zf1_02_095.wav', 'array': array([-0.00838367, -0.01664755, -0.01138937, ...,  0.00090709,
        0.00014052,  0.        ], dtype=float32), 'sampling_rate': 16000}"
3,affirm ,041_0610,"{'path': 'atcosim/WAVdata/sm2/sm2_06/sm2_06_056.wav', 'array': array([-0.00731572, -0.01010514, -0.00547657, ...,  0.00036123,
        0.00030867,  0.        ], dtype=float32), 'sampling_rate': 16000}"
4,~u ~s air one four good afternoon radar contact descend flight level three three zero and proceed trasadingen ,091_0868,"{'path': 'atcosim/WAVdata/zf2/zf2_04/zf2_04_135.wav', 'array': array([-0.02028063, -0.01179263,  0.00378441, ..., -0.00923394,
        0.00277218,  0.        ], dtype=float32), 'sampling_rate': 16000}"
5,ah swissair six five two zero is in radar contact now ,041_0406,"{'path': 'atcosim/WAVdata/sm3/sm3_03/sm3_03_007.wav', 'array': array([-0.00308129, -0.00747856, -0.00344931, ...,  0.00033692,
        0.00144179, -0.00977518], dtype=float32), 'sampling_rate': 16000}"
6,merair six nine five two left heading one eight zero ,051_0764,"{'path': 'atcosim/WAVdata/sm2/sm2_08/sm2_08_134.wav', 'array': array([-3.6877978e-03, -1.3117004e-02, -1.5145011e-02, ...,
       -5.2951678e-04,  5.2182641e-05, -1.1217159e-02], dtype=float32), 'sampling_rate': 16000}"
7,roger can you increase to decimal seven seven ,051_0360,"{'path': 'atcosim/WAVdata/sm2/sm2_07/sm2_07_186.wav', 'array': array([-0.01049867, -0.00819143, -0.0135148 , ..., -0.00497439,
       -0.00445891,  0.00153906], dtype=float32), 'sampling_rate': 16000}"
8,georgia zero three seven rhein radar identified ,071_0210,"{'path': 'atcosim/WAVdata/sm1/sm1_07/sm1_07_042.wav', 'array': array([-0.00420057, -0.01716859, -0.00809859, ...,  0.00017582,
        0.00453207, -0.00250394], dtype=float32), 'sampling_rate': 16000}"
9,cross air six eight zero contact marseille one two five decimal eight five good bye ,081_0048,"{'path': 'atcosim/WAVdata/gm1/gm1_02/gm1_02_048.wav', 'array': array([-0.00987386, -0.00293456,  0.0025267 , ..., -0.0017381 ,
       -0.01202926, -0.00898492], dtype=float32), 'sampling_rate': 16000}"
