transcription,recording_id,model_transcription
lufthansa five two nine four contact geneva one three three one five bye ,111_0391,<unk>
roger nato one zero turn right heading three two zero ,021_0623,<unk>
and swissair six five five two proceed inbound zurich east fusse ,082_0012,<unk>
french air force four four one zero zurich radar good morning identified route trasadingen zurich east fusse maintain flight level three four zero ,111_0266,<unk>
air malta zero zero four direct to frankfurt ,012_0069,<unk>
air berlin five two six one contact geneva on one three three one five bye bye ,101_0408,<unk>
swissair four eight eight climb to flight level three one zero ,091_0651,<unk>
airfrans three two six one contact geneva one three three one five good bye ,092_0213,<unk>
alitalia two nine two good morning squawk two seven six one ,091_0135,<unk>
[FRAGMENT] ,082_0052,<unk>
[EMPTY] ,111_0165,<unk>
israeli six eight six further climb clearance contact radar one three three decimal four bye bye ,111_0384,<unk>
~k ~l ~m two six four proceed via corna to nattenheim ,021_0054,<unk>
blue five seven two contact milan one three four five two good bye ,111_0016,<unk>
transwede one zero seven climb flight level three one zero ,031_0420,<unk>
sabena seven eight one six rhein radar identified ,051_0055,<unk>
britannia triple two alfa radar contact ,041_0481,<unk>
affirm ,111_0799,<unk>
reach six zero one five three own navigation to tango and contact rhein one three two decimal four b= ,101_0923,<unk>
bee med one is identified proceed direct to tango golf oscar ,021_0585,<unk>
tag hotel bravo india tango romeo identified ,041_0243,<unk>
lufthansa three five five six rhein radar identified turn right by one five degrees and climb flight level ah two nine zero ,031_0118,<unk>
hotel bravo india tango romeo turn left to nattenheim november tango mike ,021_0577,<unk>
transwede three five seven one is identified maintain level three four zero ,091_0007,<unk>
onur air three eight eight contact rhein frequency one three two four tschuss ,051_0521,<unk>
speedbird one two two contact rhein one two seven three seven ,021_0142,<unk>
lufthansa four three five six good morning squawk two seven one two ,092_0154,<unk>
sabena seven eight one six contact rhein one two zero decimal nine two good bye ,091_0076,<unk>
delta seven six descend flight level three five zero ,091_0531,<unk>
tag lufthansa four four one six identified continue on current heading to enable further climb ,061_0117,<unk>
~k ~l ~m two six four contact rhein one two seven three seven ,011_0090,<unk>
swissair eight zero six climb with thousand five hundred feet per minute or more ,061_0352,<unk>
okay ,082_0138,<unk>
and contact reims one three two decimal two seven au revoir ,071_0843,<unk>
airfrans three two six one contact geneva one three three one five bye bye ,082_0037,<unk>
midland seven two zero call rhein on one two seven three seven good day ,021_0498,<unk>
lufthansa eight two six eight rhein radar identified climb flight level three hundred ,071_0176,<unk>
hapag lloyd one nine five cleared direct bilsa ,072_0042,<unk>
jetcom one three three climb flight level three four zero ,111_0438,<unk>
delta india charlie papa alfa contact milano one three four decimal five two ,031_0126,<unk>
[EMPTY] ,101_0394,<unk>
netherlands air force four one four climb now flight level three four zero ,051_0508,<unk>
tag india tango alfa sierra alfa identified ,061_0011,<unk>
~l ~t ~u one six zero two direct st prex ,101_0056,<unk>
lufthansa four two zero nine contact rhein one three two four ,041_0282,<unk>
lufthansa four four one six climb to flight level three three zero ,111_0196,<unk>
transwede one zero seven good afternoon radar contact [HNOISE] ,081_0797,<unk>
malaysian four contact rhein one two seven decimal three seven ,041_0137,<unk>
turkish nine two five radar contact proceed via trasadingen hochwald morok ,081_0677,<unk>
roger and re= report your heading ,071_0383,<unk>
cross air eight five eight guten tag identified ,031_0249,<unk>
@aerovic one zero six one zurich radar good morning identified trasadingen fribourg maintain flight level three zero zero ,111_0331,<unk>
@foxy expect further climb after passing karlsruhe and coming clear of crossing traffic one thousand feet higher left to right ah ~b ~a one forty six correction ah fokker twenty eight ,051_0434,<unk>
tag gulf air five identified ,041_0301,<unk>
station calling say again the callsign please ,092_0073,<unk>
foxtrot sierra india milan one three four five two good bye ,081_0240,<unk>
delta november alfa affirm and fly heading one seven zero ,031_0674,<unk>
topswiss four five seven eight climb to flight level three one zero ,071_0343,<unk>
lufthansa five five zero four good afternoon radar contact ,071_0045,<unk>
alitalia two nine one proceed direct to trasadingen ,071_0101,<unk>
hapag lloyd six five three rhein radar identified climb flight level two seven zero ,071_0190,<unk>
lufthansa eight two six eight call zurich on one three four six ,061_0221,<unk>
two milan one three four five two good bye ,081_0420,<unk>
swissair four eight eight turn left heading zero two zero ,091_0123,<unk>
transavia three eight one milan one three four five two good bye ,111_0046,<unk>
~l ~t ~u seven seven five six climb to flight level two nine zero ,091_0664,<unk>
tarom seven five three four milan one three four five two good bye ,101_0728,<unk>
swissair four eight eight continue present heading climb flight level three one zero ,081_0543,<unk>
lufthansa four seven zero three descend flight level two nine zero ,101_0294,<unk>
roger keep this rate please ,051_0006,<unk>
berlin five two five five contact rhein one two seven three seven ,061_0379,<unk>
iberia three five three zero contact milan one three four five two bye bye ,101_0019,<unk>
~u ~s air one four contact milan one three four five two good bye ,081_0843,<unk>
please do so ,041_0391,<unk>
swissair four eight eight continue climb flight level three zero zero ,091_0379,<unk>
malaysian two rhein radar identified ,031_0392,<unk>
lufthansa four three nine three good morning radar contact ,092_0229,<unk>
viva five eight five contact rhein one two seven decimal three seven ,011_0085,<unk>
airfrans two four two six good morning ,111_0370,<unk>
alitalia one five zero turn left to november tango mike ,031_0661,<unk>
@aviva nine zero eight one descend flight level two seven zero ,082_0049,<unk>
station calling say again ,061_0198,<unk>
[EMPTY] ,092_0136,<unk>
airfrans one five five four set course direct fusse ,091_0353,<unk>
lufthansa three five five six good morning radar contact ,111_0188,<unk>
air malta zero zero four descend flight level three four zero ,051_0070,<unk>
~k ~l ~m two six four radar contact ,061_0259,<unk>
[EMPTY] ,021_0659,<unk>
foxtrot golf india foxtrot lima bonjour identified cleared ah passeiry torino flight level three one zero ,071_0396,<unk>
sabena eight zero six is identified ,021_0714,<unk>
britannia three two seven alfa continue now with rhein on one three two decimal four ,041_0030,<unk>
lufthansa four two zero seven contact rhein radar one three two decimal four ,021_0574,<unk>
swissair nine three five nine is identified ,031_0659,<unk>
delta india mike mike echo contact zurich one three four six tschuss ,031_0306,<unk>
ah nato ten is identified ,041_0100,<unk>
hamburg air two five four six good morning radar contact climb flight level two nine zero ,081_0952,<unk>
six seven zero correct call milan one three four decimal five two ,101_0961,<unk>
lufthansa four two zero nine contact rhein radar one three two decimal four ,051_0744,<unk>
[EMPTY] ,061_0597,<unk>
airlink one three identified ,111_0783,<unk>
lufthansa four seven two three descend to flight level three one zero ,091_0057,<unk>
netherlands four one four good afternoon radar contact ,091_0675,<unk>
lufthansa three six zero four contact milan one three four five two bye ,101_0371,<unk>
fox oscar kilo sierra india good morning maintain level two nine zero for the time trasadingen saronno will check for higher level ,092_0168,<unk>
[EMPTY] ,051_0787,<unk>
delta mike mike echo report present heading ,011_0273,<unk>
affirm even after passing neckar ,011_0275,<unk>
adria one six two seven rhein one three two decimal four tschuss ,031_0286,<unk>
transavia three eight one contact milan one three four decimal five two good bye ,091_0044,<unk>
hamburg air two five zero zero good afternoon radar contact ,091_0241,<unk>
lufthansa five two three six is identified proceed direct to november tango mike ,051_0218,<unk>
alitalia one four nine turn right one five degrees ,061_0337,<unk>
airfrans three five six good morning squawk seven five three six ,101_0579,<unk>
~p ~s ~a five zero two hotel set course to kilo papa tango ,021_0106,<unk>
okay maintain two nine zero trasadingen fribourg ,111_0311,<unk>
transwede one zero seven rhein radar identified ,071_0207,<unk>
saudia one eight three contact rhein control one three two decimal four bye ,081_0450,<unk>
that was a left turn ,031_0371,<unk>
sabena nine three six nine good morning maintain level three hundred ah willisau st prex ,091_0722,<unk>
air malta zero zero four contact rhein one two zero nine two good bye ,111_0022,<unk>
tarom three seven four climb to flight level three four zero ,041_0650,<unk>
what is your level ,101_0965,<unk>
sobelair two five two one contact rhein one three two decimal four tschuss ,041_0203,<unk>
tag lufthansa four four one six identified ahm report your heading ,051_0526,<unk>
netherlands four one four milan one three four five two good bye ,091_0219,<unk>
swissair nine three six zero now contact rhein one two seven decimal three seven ,041_0578,<unk>
air malta four five zero contact rhein one three two decimal four bye bye ,092_0066,<unk>
tunair four eight zero two contact rhein one two zero decimal nine two bye bye ,092_0070,<unk>
aero lloyd five one seven good morning maintain three one zero ,081_0284,<unk>
[EMPTY] ,092_0333,<unk>
austrian two two milan one three four five two good bye ,081_0719,<unk>
~k ~l ~m two six four direct to nattenheim ,021_0439,<unk>
cross air six nine five descend to flight level two two zero ,071_0656,<unk>
alitalia one five seven turn right ten degrees ,031_0526,<unk>
turkish nine two five radar contact flight planned route ,111_0577,<unk>
alitalia four eight seven good morning radar contact ,021_0456,<unk>
sunwing five two one two climb flight level three four zero ,101_0242,<unk>
merair six nine four four descend flight level two five zero ,101_0501,<unk>
ah alitalia one five zero make it heading three one five ,041_0682,<unk>
airfrans six four zero due to preceding slower traffic descend to flight level two eight zero ,072_0199,<unk>
scandinavian six one four turn ah left direct to karlsruhe ,092_0142,<unk>
and expedite please until three three zero there is opposite traffic ,101_0799,<unk>
georgia air zero three seven contact rhein one two seven decimal three seven bye ,031_0039,<unk>
roger due traffic turn right heading zero six five ,101_0764,<unk>
cross air two six nine zero bonjour squawk ident ,072_0075,<unk>
ah lufthansa four two zero nine is identified ,011_0255,<unk>
lufthansa four two zero seven identified good afternoon ,041_0023,<unk>
georgia zero three seven rhein radar identified ,071_0210,<unk>
turkish nine two five ahm zurich ,082_0137,<unk>
transwede one oh seven ah bonjour identified cleared passeiry bilsa flight level three three zero ,071_0496,<unk>
emirates zero two four zurich radar good morning identified trasadingen zurich east fusse maintain flight level three four zero ,111_0248,<unk>
<FL> </FL> ,081_0153,<unk>
condor four nine nine bonjour cleared ah direct arbos then epinal flight level three four zero ,071_0698,<unk>
and india sierra alfa climb with one thousand five hundred feet per minute or more ,061_0021,<unk>
