transcription,recording_id,labels,model_transcription
p s a eight one zero turn right to trasadingen ,011_0001,"[3 4 3 4 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 4 3 3
 3 3 3 3 3 3 3 3 3 4]",BUT A START YED ONE SILVETON A RIGHT TO TRYAS AT ENGAN
lufthansa five three one eight contact zurich one three four decimal six ,011_0002,"[3 3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3
 3 4 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 4]",LOUTANS A FIVE THREE ONE EIGHD CONTECTIRI ONE TREE FOUR DASA MOLSIX
p s a eight one zero contact zurich one three three decimal four ,011_0003,"[3 4 3 4 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 3 4 3
 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 4]",BESAD MONTELO CONTICTILICMONTRITRIDESMA FOR
sabena four eight one rhein identified ,011_0004,"[3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 3 3
 3 4]",SABEN AFOID ONE RHINE I DENDIFIND
transwede one zero one rhein identified set course trasadingen ,011_0005,"[3 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 3
 3 3 4 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3 3 3 3 3 3 3 3 4]",ANSUITE BONZI ROBONE RYNEYED AND DEFINE SAIT CONST RACETINGEN
india oscar kilo contact rhein one two seven three seven ,011_0006,"[3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3
 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4]",INDIA WAS CACILLOCONTICLINE ONE TWO SEVENTTY SEVEN
transavia three eight one zurich radar one three four decimal six ,011_0007,"[3 3 3 3 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 3 3 4 3 3 3 3
 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 3 3 4 3 3 3 4]",TRANZAVIETRITVON SILICRETA ONE TRE FOURESSIMAL SIX
speedbird one five six rhein identified ,011_0008,"[3 3 3 3 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3 3 3 3 3 3 3
 3 3 4]",BE BUT ONE FIVE SIX RHINE IDENTIFIED
swissair nine three five two rhein identified ,011_0009,"[3 3 3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 3 4 3 3 3 4 3 3 3 3 3 4 3 3
 3 3 3 3 3 3 3 3 4]",SPE SON NINE THREE FIVE TWO RINE I DUNDIFIED
sabena four eight one turn left to dinkelsbuhl ,011_0010,"[3 3 3 3 3 3 4 3 3 3 3 4 3 3 3 3 3 4 3 3 3 4 3 3 3 3 4 3 3 3 3 4 3 3 4 3 3
 3 3 3 3 3 3 3 3 3 4]",SABBINAFOYD ONE TURN LEFT TO DINKERD'S BOODLE
